"R","SERIE","KG","D","VM","VMP","RM","P(W)","Perfil","Ejer.","Atleta","Ecuacion"
"57","S9 R5","80","27.75","0.29","0.29","87.22","227","Personal","Press de banca","personal","sesionpressdebanca"
"56","S9 R4","80","28.15","0.31","0.31","88.54","243","Personal","Press de banca","personal","sesionpressdebanca"
"55","S9 R3","80","31.58","0.35","0.35","91.28","274","Personal","Press de banca","personal","sesionpressdebanca"
"54","S9 R2","80","30.97","0.37","0.37","92.71","290","Personal","Press de banca","personal","sesionpressdebanca"
"53","S9 R1","80","31.49","0.35","0.35","91.28","274","Personal","Press de banca","personal","sesionpressdebanca"
"52","S8 R6","80","29.33","0.27","0.27","85.93","212","Personal","Press de banca","personal","sesionpressdebanca"
"51","S8 R5","80","29.30","0.31","0.31","88.54","243","Personal","Press de banca","personal","sesionpressdebanca"
"50","S8 R4","80","27.78","0.31","0.31","88.54","243","Personal","Press de banca","personal","sesionpressdebanca"
"49","S8 R3","80","30.36","0.38","0.38","93.44","298","Personal","Press de banca","personal","sesionpressdebanca"
"48","S8 R2","80","32.27","0.39","0.39","94.17","306","Personal","Press de banca","personal","sesionpressdebanca"
"47","S8 R1","80","32.29","0.41","0.41","95.68","321","Personal","Press de banca","personal","sesionpressdebanca"
"46","S7 R6","80","32.03","0.32","0.32","89.21","251","Personal","Press de banca","personal","sesionpressdebanca"
"45","S7 R5","80","32.50","0.32","0.32","89.21","251","Personal","Press de banca","personal","sesionpressdebanca"
"44","S7 R4","80","32.41","0.34","0.34","90.58","267","Personal","Press de banca","personal","sesionpressdebanca"
"43","S7 R3","80","29.82","0.35","0.35","91.28","274","Personal","Press de banca","personal","sesionpressdebanca"
"42","S7 R2","80","31.98","0.36","0.36","91.99","282","Personal","Press de banca","personal","sesionpressdebanca"
"41","S7 R1","80","33.21","0.40","0.40","94.92","314","Personal","Press de banca","personal","sesionpressdebanca"
"40","-","60","88.48","1.00","1.10","143.94","588","Personal","Press de banca","personal","sesionpressdebanca"
"39","S6 R5","60","32.55","0.49","0.49","76.59","288","Personal","Press de banca","personal","sesionpressdebanca"
"38","S6 R4","60","33.28","0.54","0.54","79.89","318","Personal","Press de banca","personal","sesionpressdebanca"
"37","S6 R3","60","32.71","0.52","0.52","78.54","306","Personal","Press de banca","personal","sesionpressdebanca"
"36","S6 R2","60","34.52","0.58","0.60","84.19","341","Personal","Press de banca","personal","sesionpressdebanca"
"35","S6 R1","60","34.40","0.58","0.62","85.71","341","Personal","Press de banca","personal","sesionpressdebanca"
"34","-","40","74.12","0.69","0.84","70.74","270","Personal","Press de banca","personal","sesionpressdebanca"
"33","S5 R6","40","33.25","0.72","0.76","65.21","282","Personal","Press de banca","personal","sesionpressdebanca"
"32","S5 R5","40","30.97","0.68","0.74","63.94","267","Personal","Press de banca","personal","sesionpressdebanca"
"31","S5 R4","40","33.98","0.77","0.82","69.29","302","Personal","Press de banca","personal","sesionpressdebanca"
"30","S5 R3","40","31.96","0.71","0.77","65.86","278","Personal","Press de banca","personal","sesionpressdebanca"
"29","S5 R2","40","31.49","0.75","0.79","67.19","294","Personal","Press de banca","personal","sesionpressdebanca"
"28","S5 R1","40","33.46","0.76","0.81","68.58","298","Personal","Press de banca","personal","sesionpressdebanca"
"27","-","80","80.25","0.58","0.81","152.38","455","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"26","S4 R6","80","61.97","0.41","0.41","90.08","321","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"25","S4 R5","80","61.97","0.51","0.51","100.5","400","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"24","S4 R4","80","59.85","0.48","0.48","97.14","376","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"23","S4 R3","80","60.47","0.53","0.53","102.87","416","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"22","S4 R2","80","60.77","0.53","0.53","102.87","416","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"21","S4 R1","80","59.71","0.58","0.58","109.28","455","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"20","S3 R6","80","61.64","0.52","0.52","101.67","408","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"19","S3 R5","80","60.98","0.52","0.52","101.67","408","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"18","S3 R4","80","60.72","0.50","0.50","99.36","392","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"17","S3 R3","80","63.26","0.54","0.54","104.1","423","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"16","S3 R2","80","62.67","0.57","0.57","107.94","447","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"15","S3 R1","80","60.58","0.56","0.56","106.63","439","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"14","S2 R7","80","63.68","0.53","0.53","102.87","416","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"13","S2 R6","80","62.93","0.54","0.54","104.1","423","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"12","S2 R5","80","62.93","0.56","0.56","106.63","439","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"11","S2 R4","80","61.97","0.58","0.60","112.07","455","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"10","S2 R3","80","63.76","0.54","0.55","105.35","423","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"9","S2 R2","80","65.12","0.62","0.65","119.67","486","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"8","S2 R1","80","58.96","0.59","0.59","110.66","463","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"7","-","60","127.82","0.66","0.69","94.87","388","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"6","S1 R6","60","64.62","0.70","0.72","99.1","412","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"5","S1 R5","60","63.05","0.70","0.73","100.59","412","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"4","S1 R4","60","61.71","0.68","0.71","97.65","400","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"3","S1 R3","60","63.33","0.70","0.73","100.59","412","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"2","S1 R2","60","62.13","0.70","0.73","100.59","412","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"
"1","S1 R1","60","60.61","0.71","0.75","103.71","417","Personal","Sentadilla profunda","personal","sesionsentadillaprofunda"